Timestamp,UnitName,DNA,DNE,AllySector,EnemySector,NearestEType,GreatestAngle,SmallestAngle,Vx,Vz,Px,Pz,ElevationDiff,Elevation,Health,PercentForestAtEnemy,PercentForestAtSol,PercentForestNorthSector,PercentForestSouthSector,PercentForestEastSector,PercentForestWestSector
12:01:40.782400,Soldier2,15.49988387053276,154.26798922654032,"[1, 3]","[2, 2]",Rifleman,0.031255470251130874,0.008295293224103712,3.44837,3.87388,9547.56,16673.8,0.7547597857783754,4.97024,0,[0.177394],[0.998002],0.9940026153846154,0.9981623333333333,0.9972836666666667,0.9965294
12:01:40.820200,Soldier3,41.55832527905635,179.81994466687868,"[1, 1, 3]","[2, 2]",Rifleman,0.04855393578450741,0.01186634973245624,1.17355,5.21348,9530.36,16654.2,0.7461355282602251,5.01329,0,[0.177394],[0.998038],0.997191923076923,0.9967439333333332,0.9985156666666667,0.9953201999999999
12:01:40.885400,Soldiergunner,71.13221773570604,207.87128830119755,[1],"[2, 2]",Rifleman,0.08688643862277427,0.02617023068470948,4.24131,3.50162,9515.66,16628,0.743088287735695,5.02859,0,[0.177394],[0.993428],0.9957738461538461,0.9955900000000001,0.9967425555555555,0.9958189999999998
12:01:43.704100,Soldier1,13.187588862259593,125.99892102712639,"[3, 3]","[2, 2]",Rifleman,0.01737116449997718,0.0028331986750255818,3.11331,3.10925,9567.82,16694.1,0.6480400989251881,5.53,0,[0.177394],[0.993873],0.6860963261538462,0.9973114000000002,0.9925554444444443,0.9946843
12:01:43.789900,Soldier2,13.187588862259593,138.9846164149112,"[1, 3]","[2, 2]",Rifleman,0.03574672545342229,0.007805444503695538,3.50863,3.46051,9558.47,16684.8,0.6891013475014227,5.30753,0,[0.177394],[0.996901],0.9584880769230769,0.998276,0.9949373333333335,0.9966222
12:01:43.896300,Soldier3,39.28610950450456,164.53357134639643,"[1, 1, 3]","[2, 2]",Rifleman,0.053117889953401956,0.010644745395365111,1.95923,4.00156,9541.1,16665.3,0.7605529146126953,4.94153,0,[0.177394],[0.998567],0.9962078461538462,0.9978923333333333,0.9979926666666668,0.9963165999999999
12:01:43.965000,Soldiergunner,70.02607300141644,193.9710380443413,[1],"[2, 2]",Rifleman,0.09037218901465753,0.023650363998239516,2.3761,2.5681,9524.35,16639.2,0.7291030676958346,5.09941,0,[0.177394],[0.996314],0.9968010769230768,0.9954081333333333,0.9977073333333332,0.9946579
12:01:49.701900,Soldier1,9.234305604646478,104.3090120746993,"[4, 4]","[2, 2]",Rifleman,0.0401996492092447,0.0050914888807022515,4.39919,-0.0848976,9587.01,16704.5,0.5504409084875378,6.09694,0,[0.177394],[0.988929],0.48263925461538465,0.9949454,0.9909785555555557,0.8678385000000001
12:01:49.767200,Soldier2,9.234305604646478,112.45268516135934,"[2, 3]","[2, 2]",Rifleman,0.04020170444155706,0.005917784443837803,4.71918,-0.457048,9577.83,16703.5,0.6073512054867206,5.75965,0,[0.177394],[0.988825],0.33969856230769235,0.9954597333333334,0.9903598888888889,0.9841805999999998
12:01:49.828900,Soldier3,35.629903171353554,139.9389152451876,"[2, 1, 3]","[2, 2]",Rifleman,0.0033542094519028198,2.055172127799867e-06,3.70293,3.63134,9558.01,16683.8,0.6891013475014227,5.30753,0,[0.177394],[0.996901],0.9584880769230769,0.998276,0.9949373333333335,0.9966222
