terrainid,tx,ty,tz,urban,open,closed
313,999760,0,1003390,0.0076319,2.69005e-08,0.992368
314,999770,0,1003390,0.00707235,7.46203e-09,0.992928
315,999780,0,1003390,0.0064469,1.44534e-09,0.993553
316,999790,0,1003390,0.00613767,8.29278e-10,0.993862
317,999800,0,1003390,0.00585283,3.89166e-10,0.994147
318,999810,0,1003390,0.00595881,3.42194e-10,0.994041
319,999820,0,1003390,0.00506663,2.1544e-11,0.994933
320,999830,0,1003390,0.00506678,2.45254e-11,0.994933
321,999840,0,1003390,0.00626032,7.78487e-10,0.99374
322,999850,0,1003390,0.00778821,2.15745e-08,0.992212
323,999860,0,1003390,0.00871418,1.25466e-07,0.991286
324,999870,0,1003390,0.00909973,2.53209e-07,0.9909
325,999880,0,1003390,0.00759008,1.3676e-08,0.99241
326,999890,0,1003390,0.00488607,1.21894e-11,0.995114
327,999900,0,1003390,0.00343866,4.26107e-14,0.996561
328,999910,0,1003390,0.00339162,2.66981e-14,0.996608
329,999920,0,1003390,0.00402412,2.84893e-13,0.995976
330,999930,0,1003390,0.00500591,7.36553e-12,0.994994
331,999940,0,1003390,0.00524787,2.05935e-11,0.994752
332,999950,0,1003390,0.00511976,1.85943e-11,0.99488
333,999960,0,1003390,0.00490465,9.86283e-12,0.995095
334,999970,0,1003390,0.00484214,6.40115e-12,0.995158
335,999980,0,1003390,0.00485755,6.56376e-12,0.995142
336,999990,0,1003390,0.0048768,7.34877e-12,0.995123
337,1000000,0,1003390,0.00605226,1.7893e-10,0.993948
338,1000010,0,1003390,0.00759862,4.84545e-09,0.992401
339,1000020,0,1003390,0.00849462,2.48992e-08,0.991505
340,1000030,0,1003390,0.00694007,1.14577e-09,0.99306
341,1000040,0,1003390,0.00470854,2.2727e-12,0.995291
342,1000050,0,1003390,0.00323513,1.06511e-15,0.996765
343,1000060,0,1003390,0.00201183,3.46553e-20,0.997988
344,1000070,0,1003390,0.0010866,6.77388e-26,0.998913
345,1000080,0,1003390,0.00019954,8.12733e-41,0.9998
346,1000090,0,1003390,1.43997e-05,3.64593e-64,0.999986
347,1000100,0,1003390,7.8064e-07,6.17949e-90,0.999999
348,1000110,0,1003390,1.81603e-07,8.5397e-103,1
349,1000120,0,1003390,5.26061e-07,6.27196e-93,0.999999
350,1000130,0,1003390,1.28904e-05,1.74409e-64,0.999987
351,1000140,0,1003390,0.000244914,5.91664e-38,0.999755
352,1000150,0,1003390,0.000502641,7.60065e-32,0.999497
353,1000160,0,1003390,5.91972e-05,4.1508e-52,0.999941
354,1000170,0,1003390,1.79038e-06,4.17977e-84,0.999998
355,1000180,0,1003390,9.59755e-08,1.70134e-109,1
356,1000190,0,1003390,1.75628e-08,1.94076e-122,1
357,1000200,0,1003390,9.59663e-09,2.15841e-126,1
358,1000210,0,1003390,9.24868e-09,1.31342e-126,1
359,1000220,0,1003390,1.15497e-08,2.31125e-125,1
360,1000230,0,1003390,1.36683e-08,1.01846e-123,1
361,1000240,0,1003390,2.06973e-08,7.70302e-121,1
362,1000250,0,1003390,3.75369e-08,1.91598e-116,1
363,1000260,0,1003390,8.81925e-08,2.50376e-109,1
364,1000270,0,1003390,2.94548e-07,2.69516e-99,1
365,1000280,0,1003390,6.60252e-07,9.32193e-92,0.999999
366,1000290,0,1003390,7.14754e-07,1.16996e-90,0.999999
367,1000300,0,1003390,5.18047e-07,1.0489e-94,0.999999
368,1000310,0,1003390,3.38786e-07,8.347e-100,1
369,1000320,0,1003390,2.88399e-07,3.59272e-100,1
370,1000330,0,1003390,2.77151e-07,1.65518e-98,1
371,1000340,0,1003390,4.02548e-07,3.17627e-95,1
372,1000350,0,1003390,4.72059e-07,3.14332e-94,1
373,1000360,0,1003390,4.08599e-07,1.1353e-94,1
374,1000370,0,1003390,2.51153e-07,3.41469e-98,1
375,1000380,0,1003390,2.26444e-07,1.29765e-103,1
376,1000390,0,1003390,1.87388e-07,4.42082e-107,1
377,1000400,0,1003390,9.78562e-08,4.6449e-108,1
378,1000410,0,1003390,9.77687e-08,3.53689e-107,1
379,1000420,0,1003390,9.9492e-08,1.91654e-109,1
380,1000430,0,1003390,7.9286e-08,9.31274e-112,1
381,1000440,0,1003390,6.79656e-08,3.03515e-113,1
382,1000450,0,1003390,6.77395e-08,3.9609e-113,1
383,1000460,0,1003390,7.06177e-08,1.74521e-110,1
384,1000470,0,1003390,7.63787e-08,1.41459e-108,1
385,1000480,0,1003390,9.09107e-08,5.37684e-109,1
386,1000490,0,1003390,1.77418e-07,7.72775e-104,1
387,1000500,0,1003390,6.74934e-07,7.6837e-91,0.999999
388,1000510,0,1003390,5.02249e-06,2.46089e-73,0.999995
389,1000520,0,1003390,6.50263e-05,1.06929e-51,0.999935
390,1000530,0,1003390,0.000645723,2.75618e-31,0.999354
391,1000540,0,1003390,0.00450307,6.3654e-14,0.995497
392,1000550,0,1003390,0.0128843,4.59672e-05,0.98707
393,1000560,0,1003390,0.018428,0.0154783,0.966094
394,1000570,0,1003390,0.0217491,0.218414,0.759837
395,1000580,0,1003390,0.024122,0.895879,0.0799995
396,1000590,0,1003390,0.0219048,0.970203,0.00789217
397,1000600,0,1003390,0.0186822,0.973126,0.00819152
398,1000610,0,1003390,0.0183666,0.968765,0.0128688
399,1000620,0,1003390,0.017672,0.96571,0.0166179
400,1000630,0,1003390,0.0176117,0.958987,0.0234008
401,1000640,0,1003390,0.0174193,0.946867,0.0357133
402,1000650,0,1003390,0.0176013,0.942814,0.0395844
403,1000660,0,1003390,0.0176364,0.945167,0.0371966
404,999660,0,1003400,0.00061007,7.35231e-32,0.99939
405,999670,0,1003400,0.00674734,7.62224e-11,0.993253
406,999680,0,1003400,0.0180107,0.0370531,0.944936
407,999690,0,1003400,0.0178448,0.0378686,0.944287
408,999700,0,1003400,0.014215,0.000760072,0.985025
409,999710,0,1003400,0.0118733,4.30698e-05,0.988084
410,999720,0,1003400,0.0114051,1.74468e-05,0.988577
411,999730,0,1003400,0.011022,7.57945e-06,0.98897
412,999740,0,1003400,0.00923344,4.38233e-07,0.990766
413,999750,0,1003400,0.00789103,4.47723e-08,0.992109
414,999760,0,1003400,0.00673085,3.54874e-09,0.993269
415,999770,0,1003400,0.00627183,1.1609e-09,0.993728
416,999780,0,1003400,0.00624247,1.02329e-09,0.993758
417,999790,0,1003400,0.00626863,9.7768e-10,0.993731
418,999800,0,1003400,0.00585356,3.09862e-10,0.994146
419,999810,0,1003400,0.00561043,1.84172e-10,0.99439
420,999820,0,1003400,0.00497681,2.16056e-11,0.995023
421,999830,0,1003400,0.00465529,5.56241e-12,0.995345
422,999840,0,1003400,0.0058381,2.2508e-10,0.994162
423,999850,0,1003400,0.00768381,1.81567e-08,0.992316
424,999860,0,1003400,0.00950319,5.70552e-07,0.990496
425,999870,0,1003400,0.00927192,3.8188e-07,0.990728
426,999880,0,1003400,0.0066917,2.04773e-09,0.993308
427,999890,0,1003400,0.00424297,1.28259e-12,0.995757
428,999900,0,1003400,0.00315846,9.65897e-15,0.996842
429,999910,0,1003400,0.00325671,1.4402e-14,0.996743
430,999920,0,1003400,0.00419753,7.80486e-13,0.995802
431,999930,0,1003400,0.00514128,1.77127e-11,0.994859
432,999940,0,1003400,0.00483943,7.11151e-12,0.995161
433,999950,0,1003400,0.00508455,1.67447e-11,0.994915
434,999960,0,1003400,0.00435013,1.60107e-12,0.99565
435,999970,0,1003400,0.00386267,1.92429e-13,0.996137
436,999980,0,1003400,0.00371527,8.82914e-14,0.996285
437,999990,0,1003400,0.00409497,4.33765e-13,0.995905
438,1000000,0,1003400,0.00535963,2.06916e-11,0.99464
439,1000010,0,1003400,0.00740812,2.71774e-09,0.992592
440,1000020,0,1003400,0.00799024,1.01326e-08,0.99201
441,1000030,0,1003400,0.0073596,3.90384e-09,0.99264
442,1000040,0,1003400,0.00636706,3.84544e-10,0.993633
443,1000050,0,1003400,0.00559308,3.36071e-11,0.994407
444,1000060,0,1003400,0.00388219,1.28911e-14,0.996118
445,1000070,0,1003400,0.00165701,1.10495e-22,0.998343
446,1000080,0,1003400,0.000217083,2.74261e-41,0.999783
447,1000090,0,1003400,9.37109e-06,4.01158e-69,0.999991
448,1000100,0,1003400,4.5016e-07,6.33339e-96,1
449,1000110,0,1003400,9.94598e-08,7.00561e-109,1
450,1000120,0,1003400,2.558e-07,1.75732e-99,1
451,1000130,0,1003400,4.66853e-06,1.19182e-72,0.999995
452,1000140,0,1003400,9.8739e-05,1.31112e-45,0.999901
453,1000150,0,1003400,0.000247214,1.63305e-38,0.999753
454,1000160,0,1003400,3.27234e-05,1.71286e-57,0.999967
455,1000170,0,1003400,1.48769e-06,1.79627e-85,0.999999
456,1000180,0,1003400,1.19324e-07,2.99193e-107,1
457,1000190,0,1003400,2.91134e-08,7.8175e-118,1
458,1000200,0,1003400,1.58084e-08,4.45822e-122,1
459,1000210,0,1003400,1.65646e-08,2.30305e-122,1
